€Time(ms),Temperature(C),Humidity(% Relative),Pressure(hPa),Altitude(m),Ambient Light(0-255)   
3630000,13.49,79.70214844,1029.044336,-130,186
3645000,13.49,79.21484375,1028.970195,-122,150
3660000,13.52,78.24316406,1029.011445,-122,162
3675000,13.5,79.1484375,1028.959258,-122,155
3690000,13.55,78.32421875,1028.978516,-122,166
3705000,13.57,76.67675781,1029.020078,-130,157
3720000,13.56,76.38085937,1028.920898,-122,160
3735000,13.57,76.21484375,1028.984102,-122,154
3750000,13.58,77.3515625,1029.000664,-130,157
3765000,13.59,76.20898438,1028.989687,-122,149
3780000,13.59,75.93652344,1029.025664,-130,154
3795000,13.6,75.98535156,1029.061328,-130,127
3810000,13.59,76.67871094,1028.989687,-122,138
3825000,13.6,77.06347656,1029.042227,-130,130
3840000,13.61,76.67382812,1029.003711,-130,147
3855000,13.61,77.33007813,1028.976172,-122,135
3870000,13.58,79.04589844,1028.981563,-130,134
3885000,13.59,79.58398437,1028.989687,-122,153
3900000,13.58,79.5234375,1028.945586,-122,157
3915000,13.6,79.29199219,1028.813516,-122,154
3930000,13.6,78.59960938,1028.849453,-122,162
3945000,13.62,77.93847656,1028.772422,-122,173
3960000,13.63,78.08691406,1028.824648,-122,174
3975000,13.64,76.99316406,1028.778008,-122,168
3990000,13.64,76.35644531,1028.813672,-122,165
4005000,13.65,76.21191406,1028.802656,-122,173
4020000,13.65,77.20996094,1028.877148,-122,166
4035000,13.66,78.55175781,1028.874297,-122,172
4050000,13.66,78.42480469,1028.874297,-122,141
4065000,13.66,78.40527344,1028.901836,-122,155
4080000,13.66,79.31347656,1028.866211,-122,147
4095000,13.68,78.26074219,1028.844219,-122,155
4110000,13.65,79.9296875,1028.877148,-122,151
4125000,13.64,80.3671875,1028.786133,-122,157
4140000,13.66,80.01757812,1028.838672,-122,164
4155000,13.66,79.68652344,1028.791719,-122,153
4170000,13.68,78.56542969,1028.797266,-122,166
4185000,13.7,78.05859375,1028.767148,-122,152
4200000,13.69,78.83203125,1028.78625,-122,139
4215000,13.71,77.46582031,1028.819414,-122,145
4230000,13.7,77.47363281,1028.775273,-122,147
4245000,13.71,77.88574219,1028.819414,-122,149
4260000,13.7,78.57910156,1028.747773,-122,139
4275000,13.7,79.30078125,1028.822266,-122,132
4290000,13.67,79.95214844,1028.835781,-122,137
4305000,13.7,79.66308594,1028.822266,-122,162
4320000,13.68,80.54882813,1028.844219,-122,139
4335000,13.68,80.4140625,1028.769727,-122,123
4350000,13.69,79.52636719,1028.841367,-122,116
4365000,13.67,80.72265625,1028.937852,-122,113
4380000,13.64,81.05175781,1028.915703,-122,111
4395000,13.67,80.64453125,1028.855195,-122,130
4410000,13.63,80.71679687,1028.92668,-122,97
4425000,13.66,80.02929688,1028.901836,-122,128
4440000,13.63,80.43359375,1028.879688,-122,121
4455000,13.59,81.52832031,1028.879531,-122,122
4470000,13.63,79.98242187,1028.890703,-122,127
4485000,13.62,81.42675781,1028.929219,-122,101
4500000,13.63,81.45019531,1028.92668,-122,110
4515000,13.66,80.58398437,1028.976328,-122,106
4530000,13.64,81.12988281,1028.978867,-122,95
4545000,13.67,80.43164063,1028.918398,-122,113
4560000,13.69,80.08203125,1028.915859,-122,95
4575000,13.68,81.08691406,1028.954375,-122,122
4590000,13.66,80.87011719,1028.956914,-122,100
4605000,13.67,81.07714844,1028.86332,-122,114
4620000,13.68,80.40429687,1028.934961,-122,118
4635000,13.68,80.87304687,1028.934961,-122,108
4650000,13.71,80.41015625,1028.95707,-122,109
4665000,13.67,81.34082031,1028.86332,-122,122
4680000,13.67,81.71972656,1028.882734,-122,104
4695000,13.7,81.31542969,1028.904844,-122,113
4710000,13.71,80.53710938,1028.929531,-122,108
4725000,13.72,78.53417969,1028.891016,-122,97
4740000,13.71,79.61621094,1028.976484,-122,96
4755000,13.72,81.34863281,1028.938008,-122,94
4770000,13.73,79.97167969,1028.954531,-122,101
4785000,13.72,80.890625,1028.973633,-122,89
4800000,13.73,79.98144531,1028.954531,-122,99
4815000,13.72,81.31152344,1028.946094,-122,84
4830000,13.73,79.72949219,1028.962656,-122,87
4845000,13.7,81.74707031,1028.968086,-122,91
4860000,13.69,81.96972656,1028.923984,-122,92
4875000,13.72,81.79980469,1028.918555,-122,86
4890000,13.71,81.35644531,1028.921445,-122,90
4905000,13.7,81.83496094,1028.968086,-122,88
4920000,13.71,81.66113281,1028.984648,-122,80
4935000,13.71,81.69824219,1029.004062,-122,78
4950000,13.69,81.71582031,1028.951484,-122,77
4965000,13.69,82.2421875,1029.053594,-122,78
4980000,13.67,82.6796875,1028.973477,-122,75
4995000,13.68,82.88671875,1028.907383,-122,97
5010000,13.69,82.37109375,1028.896445,-122,96
5025000,13.72,81.28027344,1028.882891,-122,100
5040000,13.7,82.52734375,1028.904844,-122,98
5055000,13.7,82.52929688,1028.857891,-122,82
5070000,13.71,82.3828125,1028.838789,-122,99
5085000,13.72,81.93652344,1028.863477,-122,104
5100000,13.71,82.78515625,1028.846914,-122,91
5115000,13.71,82.26660156,1028.819414,-122,90
5130000,13.71,82.6171875,1028.893906,-122,96
5145000,13.64,82.84960937,1028.915703,-122,87
5160000,13.65,83.02734375,1028.802656,-122,92
5175000,13.66,82.9609375,1028.791719,-122,91
5190000,13.68,82.82617187,1028.871758,-122,82
5205000,13.68,82.18261719,1028.879883,-122,95
5220000,13.71,80.48828125,1028.874453,-122,129
5235000,13.7,82.02050781,1028.968086,-122,115
5250000,13.64,82.83984375,1028.923789,-122,124
5265000,13.67,82.66992187,1028.918398,-122,99
5280000,13.69,81.87207031,1028.841367,-122,112
5295000,13.69,82.57617187,1028.896445,-122,93
5310000,13.72,81.73925781,1028.882891,-122,97
5325000,13.74,81.16796875,1028.896602,-122,113
5340000,13.74,82.06542969,1028.833398,-122,101
5355000,13.73,81.05859375,1028.824961,-122,105
5370000,13.75,80.984375,1028.77543,-122,93
5385000,13.76,81.09179687,1028.791992,-122,83
5400000,13.73,82.56445313,1028.687266,-122,83
5415000,13.75,81.89355469,1028.747891,-122,90
5430000,13.74,82.6640625,1028.758867,-122,140
5445000,13.75,81.1875,1028.767305,-122,105
5460000,13.74,82.27148438,1028.750742,-122,89
5475000,13.76,82.68554688,1028.728789,-122,102
5490000,13.78,81.85839844,1028.789414,-122,120
5505000,13.81,80.96679688,1028.764883,-122,128
5520000,13.81,81.29882813,1028.709766,-122,122
5535000,13.81,81.51464844,1028.709766,-122,130
5550000,13.82,81.46484375,1028.616133,-122,137
5565000,13.82,81.75878906,1028.67125,-122,149
5580000,13.84,80.98046875,1028.668359,-122,134
5595000,13.83,82.12402344,1028.715352,-122,138
5610000,13.86,81.48046875,1028.646367,-122,137
5625000,13.85,81.99902344,1028.657383,-122,128
5640000,13.86,81.66894531,1028.599688,-122,130
5655000,13.87,80.8984375,1028.525195,-122,127
5670000,13.85,81.83300781,1028.583164,-122,111
5685000,13.84,81.82128906,1028.566602,-122,120
5700000,13.86,81.49023438,1028.508633,-122,115
5715000,13.87,81.015625,1028.525195,-122,123
5730000,13.88,80.48925781,1028.550156,-122,115
5745000,13.87,81.2890625,1028.607812,-122,116
5760000,13.87,82.02246094,1028.533594,-122,105
5775000,13.88,81.38867188,1028.577734,-122,107
5790000,13.86,82.22363281,1028.563711,-122,110
5805000,13.85,82.18457031,1028.555625,-122,130
5820000,13.84,82.31933594,1028.613281,-122,63
5835000,13.83,82.07324219,1028.514062,-122,79
5850000,13.86,81.05273437,1028.709922,-122,91
5865000,13.87,80.59472656,1028.698906,-122,101
5880000,13.86,81.66699219,1028.673906,-122,115
5895000,13.87,82.23730469,1028.607812,-122,128
5910000,13.8,83.03515625,1028.574609,-122,117
5925000,13.73,83.71484375,1028.651562,-122,94
5940000,13.75,83.59179687,1028.657148,-122,110
5955000,13.81,83.65234375,1028.64625,-122,132
5970000,13.81,83.13671875,1028.654687,-122,113
5985000,13.83,83.3828125,1028.596719,-122,112
6000000,13.84,83.38476563,1028.566602,-122,107
6015000,13.85,83.31835937,1028.500508,-122,110
6030000,13.87,83.546875,1028.552734,-122,109
6045000,13.83,83.67773438,1028.577578,-122,95
6060000,13.88,82.88476562,1028.522617,-122,92
6075000,13.9,81.66601563,1028.583242,-122,91
6090000,13.91,81.93261719,1028.591328,-122,96
6105000,13.92,80.83691406,1028.525273,-122,104
6120000,13.92,82.16894531,1028.506133,-122,100
6135000,13.9,83.01367188,1028.492187,-122,103
6150000,13.91,82.64648438,1028.489609,-122,103
6165000,13.92,81.46289062,1028.525273,-122,90
6180000,13.92,81.29882813,1028.533711,-122,64
6195000,13.92,82.41308594,1028.506133,-122,74
6210000,13.93,81.65234375,1028.48668,-122,71
6225000,13.92,81.5625,1028.451055,-122,69
6240000,13.93,81.86816406,1028.467578,-122,78
6255000,13.93,82.74804687,1028.495156,-122,73
6270000,13.94,80.63769531,1028.484102,-122,66
6285000,13.95,80.36523437,1028.418047,-122,71
6300000,13.95,80.76660156,1028.445586,-122,78
6315000,13.95,81.40039062,1028.464688,-122,63
6330000,13.95,81.06738281,1028.382031,-122,64
6345000,13.95,82.15527344,1028.500664,-122,68
6360000,13.96,80.86425781,1028.426133,-122,56
6375000,13.97,80.73925781,1028.470234,-122,84
6390000,13.95,81.41210938,1028.445586,-122,66
6405000,13.92,82.74609375,1028.395938,-122,80
6420000,13.95,82.01660156,1028.382031,-122,84
6435000,13.96,81.99121094,1028.406992,-122,82
6450000,13.97,80.59375,1028.368437,-122,79
6465000,13.98,81.15332031,1028.302344,-122,70
6480000,13.98,81.78710938,1028.43168,-122,64
6495000,13.96,82.87890625,1028.343438,-122,65
6510000,13.97,81.43554688,1028.368437,-122,60
6525000,13.98,80.87011719,1028.357461,-122,55
6540000,13.98,81.85742188,1028.329883,-122,62
6555000,13.99,79.95996094,1028.365547,-122,71
6570000,13.99,81.22167969,1028.393086,-122,80
6585000,13.96,82.36230469,1028.351914,-122,82
6600000,13.97,82.00292969,1028.423555,-122,88
6615000,13.97,82.7734375,1028.360039,-122,83
6630000,13.96,82.60644531,1028.324336,-122,80
6645000,13.99,81.48632813,1028.282891,-122,69
6660000,13.99,80.96972656,1028.291328,-122,61
6675000,14,81.08691406,1028.271875,-122,53
6690000,14,80.12011719,1028.33543,-122,48
6705000,14,80.86230469,1028.354531,-122,54
6720000,13.99,81.71289062,1028.373984,-122,51
6735000,14.01,80.484375,1028.351953,-122,54
6750000,14.01,79.50585937,1028.351953,-122,64
6765000,14.03,79.05761719,1028.40418,-122,62
6780000,14.02,78.65625,1028.340938,-122,68
6795000,13.96,81.92285156,1028.351914,-122,46
6810000,13.96,82.13769531,1028.43457,-122,63
6825000,14,81.53710937,1028.409648,-122,51
6840000,14,80.01269531,1028.418086,-122,45
6855000,14,81.37109375,1028.464766,-122,38
6870000,14.01,80.36523437,1028.371055,-122,33
6885000,14,80.28710937,1028.418086,-122,33
6900000,14.01,79.84667969,1028.426172,-122,36
6915000,14.01,79.34960937,1028.40707,-122,29
6930000,14,80.02246094,1028.418086,-122,33
6945000,13.97,81.78710938,1028.451094,-122,37
6960000,13.97,81.49414063,1028.395977,-122,46
6975000,13.98,81.34960938,1028.329883,-122,49
6990000,14,81.390625,1028.354531,-122,51
7005000,14.01,82.34082031,1028.371055,-122,56
7020000,14.02,81.01269531,1028.360078,-122,57
7035000,14.02,81.25878906,1028.423594,-122,66
7050000,14.02,81.42382812,1028.360078,-122,54
7065000,13.99,82.63085937,1028.337969,-122,64
